site_plot_id,x,y,long,lat,site,plot,alt,inclin_down,inclin_dir,year,x_stere,y_stere,tempjja_ts_5,tempmax_ts_5,tempjja_ts_10,tempmax_ts_10,tempjja_ts_15,tempmax_ts_15,tempjja_ts_20,tempmax_ts_20,tempjja_ts_30,tempmax_ts_30,tempmin_ts_5,tempmin_ts_10,tempmin_ts_15,tempmin_ts_20,tempmin_ts_30,tempcont_ts_5,tempcont_ts_10,tempcont_ts_15,tempcont_ts_20,tempcont_ts_30,precipjja_ts_5,precipjja_ts_10,precipjja_ts_15,precipjja_ts_20,precipjja_ts_30,insoljja_ts_5,insoljja_ts_10,insoljja_ts_15,insoljja_ts_20,insoljja_ts_30,twi,ndwi,field_rad,twi_90m,slope_90m,asp_90m,dem_rad,ndvi,nir,swir,plotgroup,site_alt_plotgroup_id,site_alt_id,taxon,cover,compet
6_P409,546035.7756,7158419.642,-50.039936,64.547908,5,P409,500,5,317,2013,-246117.85936256684,-2790745.2466278,7.336386839548747,8.50679636001587,7.204809411366781,8.265525150299073,7.080240196651882,8.083510907491048,6.750280698140462,7.8390878438949585,6.525770886739095,7.822362677256266,-19.145486259460448,-20.42271966934204,-21.221859296162922,-21.98073058128357,-22.91015609105428,27.652282619476317,28.688244819641113,29.305370203653972,29.81981842517853,30.732518768310545,143.64085369110109,141.31097798347474,179.0726379553477,184.33170186281205,183.63709994157156,192.88451029459637,192.88145802815754,192.94358995225696,192.97263819376627,192.9976811726888,2.8058712482452393,-0.19523261487483978,0.6387736159826499,4.809978008270264,11.432475090026855,290.92449951171875,0.6101538033270559,0.2763769328594208,1765.1911505766916,2620.3449902775264,3,5_500_3,5_500,Vaccinium uliginosum,0,5
6_P410,546033.1615,7158408.568,-50.039994,64.547809,5,P410,500,14,324,2013,-246121.67279558818,-2790756.2042171913,7.414634927113851,8.58543004989624,7.281784375508626,8.342524337768555,7.156899754206339,8.16040751139323,6.826754526297251,7.915900993347168,6.60189900663164,7.899558575948079,-19.07843761444092,-20.35720567703247,-21.15599791208903,-21.91494240760803,-22.844862778981526,27.66386766433716,28.699730014801027,29.31640542348226,29.8308434009552,30.744421354929607,143.8443621635437,141.54450240135193,179.37735641797383,184.65815550088882,183.97129809856415,193.27284240722656,193.2701889038086,193.332425265842,193.36150029500325,193.38665042453343,2.873218297958374,-0.18518853187561035,0.5387785203505802,4.970759868621826,10.896162986755371,286.3428955078125,0.6208923977141879,0.2897213101387024,1775.807200955023,2581.9795694989257,3,5_500_3,5_500,Betula nana,0.24,0
6_P410,546033.1615,7158408.568,-50.039994,64.547809,5,P410,500,14,324,2013,-246121.67279558818,-2790756.2042171913,7.414634927113851,8.58543004989624,7.281784375508626,8.342524337768555,7.156899754206339,8.16040751139323,6.826754526297251,7.915900993347168,6.60189900663164,7.899558575948079,-19.07843761444092,-20.35720567703247,-21.15599791208903,-21.91494240760803,-22.844862778981526,27.66386766433716,28.699730014801027,29.31640542348226,29.8308434009552,30.744421354929607,143.8443621635437,141.54450240135193,179.37735641797383,184.65815550088882,183.97129809856415,193.27284240722656,193.2701889038086,193.332425265842,193.36150029500325,193.38665042453343,2.873218297958374,-0.18518853187561035,0.5387785203505802,4.970759868621826,10.896162986755371,286.3428955078125,0.6208923977141879,0.2897213101387024,1775.807200955023,2581.9795694989257,3,5_500_3,5_500,Cassiope tetragona,0,8
6_P410,546033.1615,7158408.568,-50.039994,64.547809,5,P410,500,14,324,2013,-246121.67279558818,-2790756.2042171913,7.414634927113851,8.58543004989624,7.281784375508626,8.342524337768555,7.156899754206339,8.16040751139323,6.826754526297251,7.915900993347168,6.60189900663164,7.899558575948079,-19.07843761444092,-20.35720567703247,-21.15599791208903,-21.91494240760803,-22.844862778981526,27.66386766433716,28.699730014801027,29.31640542348226,29.8308434009552,30.744421354929607,143.8443621635437,141.54450240135193,179.37735641797383,184.65815550088882,183.97129809856415,193.27284240722656,193.2701889038086,193.332425265842,193.36150029500325,193.38665042453343,2.873218297958374,-0.18518853187561035,0.5387785203505802,4.970759868621826,10.896162986755371,286.3428955078125,0.6208923977141879,0.2897213101387024,1775.807200955023,2581.9795694989257,3,5_500_3,5_500,Empetrum nigrum,0.08,6
6_P410,546033.1615,7158408.568,-50.039994,64.547809,5,P410,500,14,324,2013,-246121.67279558818,-2790756.2042171913,7.414634927113851,8.58543004989624,7.281784375508626,8.342524337768555,7.156899754206339,8.16040751139323,6.826754526297251,7.915900993347168,6.60189900663164,7.899558575948079,-19.07843761444092,-20.35720567703247,-21.15599791208903,-21.91494240760803,-22.844862778981526,27.66386766433716,28.699730014801027,29.31640542348226,29.8308434009552,30.744421354929607,143.8443621635437,141.54450240135193,179.37735641797383,184.65815550088882,183.97129809856415,193.27284240722656,193.2701889038086,193.332425265842,193.36150029500325,193.38665042453343,2.873218297958374,-0.18518853187561035,0.5387785203505802,4.970759868621826,10.896162986755371,286.3428955078125,0.6208923977141879,0.2897213101387024,1775.807200955023,2581.9795694989257,3,5_500_3,5_500,Rhododendron groenlandicum,0,0
6_P410,546033.1615,7158408.568,-50.039994,64.547809,5,P410,500,14,324,2013,-246121.67279558818,-2790756.2042171913,7.414634927113851,8.58543004989624,7.281784375508626,8.342524337768555,7.156899754206339,8.16040751139323,6.826754526297251,7.915900993347168,6.60189900663164,7.899558575948079,-19.07843761444092,-20.35720567703247,-21.15599791208903,-21.91494240760803,-22.844862778981526,27.66386766433716,28.699730014801027,29.31640542348226,29.8308434009552,30.744421354929607,143.8443621635437,141.54450240135193,179.37735641797383,184.65815550088882,183.97129809856415,193.27284240722656,193.2701889038086,193.332425265842,193.36150029500325,193.38665042453343,2.873218297958374,-0.18518853187561035,0.5387785203505802,4.970759868621826,10.896162986755371,286.3428955078125,0.6208923977141879,0.2897213101387024,1775.807200955023,2581.9795694989257,3,5_500_3,5_500,Rhododendron tomentosum,0,0
6_P410,546033.1615,7158408.568,-50.039994,64.547809,5,P410,500,14,324,2013,-246121.67279558818,-2790756.2042171913,7.414634927113851,8.58543004989624,7.281784375508626,8.342524337768555,7.156899754206339,8.16040751139323,6.826754526297251,7.915900993347168,6.60189900663164,7.899558575948079,-19.07843761444092,-20.35720567703247,-21.15599791208903,-21.91494240760803,-22.844862778981526,27.66386766433716,28.699730014801027,29.31640542348226,29.8308434009552,30.744421354929607,143.8443621635437,141.54450240135193,179.37735641797383,184.65815550088882,183.97129809856415,193.27284240722656,193.2701889038086,193.332425265842,193.36150029500325,193.38665042453343,2.873218297958374,-0.18518853187561035,0.5387785203505802,4.970759868621826,10.896162986755371,286.3428955078125,0.6208923977141879,0.2897213101387024,1775.807200955023,2581.9795694989257,3,5_500_3,5_500,Phyllodoce caerulea,0,8
6_P410,546033.1615,7158408.568,-50.039994,64.547809,5,P410,500,14,324,2013,-246121.67279558818,-2790756.2042171913,7.414634927113851,8.58543004989624,7.281784375508626,8.342524337768555,7.156899754206339,8.16040751139323,6.826754526297251,7.915900993347168,6.60189900663164,7.899558575948079,-19.07843761444092,-20.35720567703247,-21.15599791208903,-21.91494240760803,-22.844862778981526,27.66386766433716,28.699730014801027,29.31640542348226,29.8308434009552,30.744421354929607,143.8443621635437,141.54450240135193,179.37735641797383,184.65815550088882,183.97129809856415,193.27284240722656,193.2701889038086,193.332425265842,193.36150029500325,193.38665042453343,2.873218297958374,-0.18518853187561035,0.5387785203505802,4.970759868621826,10.896162986755371,286.3428955078125,0.6208923977141879,0.2897213101387024,1775.807200955023,2581.9795694989257,3,5_500_3,5_500,Salix glauca,0,0
6_P410,546033.1615,7158408.568,-50.039994,64.547809,5,P410,500,14,324,2013,-246121.67279558818,-2790756.2042171913,7.414634927113851,8.58543004989624,7.281784375508626,8.342524337768555,7.156899754206339,8.16040751139323,6.826754526297251,7.915900993347168,6.60189900663164,7.899558575948079,-19.07843761444092,-20.35720567703247,-21.15599791208903,-21.91494240760803,-22.844862778981526,27.66386766433716,28.699730014801027,29.31640542348226,29.8308434009552,30.744421354929607,143.8443621635437,141.54450240135193,179.37735641797383,184.65815550088882,183.97129809856415,193.27284240722656,193.2701889038086,193.332425265842,193.36150029500325,193.38665042453343,2.873218297958374,-0.18518853187561035,0.5387785203505802,4.970759868621826,10.896162986755371,286.3428955078125,0.6208923977141879,0.2897213101387024,1775.807200955023,2581.9795694989257,3,5_500_3,5_500,Salix arctophila,0,8
6_P410,546033.1615,7158408.568,-50.039994,64.547809,5,P410,500,14,324,2013,-246121.67279558818,-2790756.2042171913,7.414634927113851,8.58543004989624,7.281784375508626,8.342524337768555,7.156899754206339,8.16040751139323,6.826754526297251,7.915900993347168,6.60189900663164,7.899558575948079,-19.07843761444092,-20.35720567703247,-21.15599791208903,-21.91494240760803,-22.844862778981526,27.66386766433716,28.699730014801027,29.31640542348226,29.8308434009552,30.744421354929607,143.8443621635437,141.54450240135193,179.37735641797383,184.65815550088882,183.97129809856415,193.27284240722656,193.2701889038086,193.332425265842,193.36150029500325,193.38665042453343,2.873218297958374,-0.18518853187561035,0.5387785203505802,4.970759868621826,10.896162986755371,286.3428955078125,0.6208923977141879,0.2897213101387024,1775.807200955023,2581.9795694989257,3,5_500_3,5_500,Vaccinium uliginosum,0,6
